Sentiment in Forums,Risk Level Prediction,Word Count,processed_IOCs (Indicators of Compromise),processed_Threat Actor,processed_Attack Vector,processed_Geographical Location,processed_Cleaned Threat Description,processed_Keyword Extraction,processed_Named Entities (NER),processed_Topic Modeling Labels,Threat Category,Severity Score,Suggested Defense Mechanism
0.92,1,36,,unknown,email,global,malware detected email attachment,,,ransomware,DDoS,5,Increase Web Security
0.56,1,19,,unknown,web,russia,phishing scam targeting corporate account,,,phishing,Ransomware,3,Monitor for Phishing
0.56,4,39,,unknown,network,russia,malware detected email attachment,,service,ddos,Phishing,5,Increase Web Security
0.91,2,29,,,web,russia,phishing scam targeting corporate account,,service,malware,Malware,3,Patch Vulnerability
0.96,5,38,,lazarus group,email,global,phishing scam targeting corporate account,,group device,ransomware,Phishing,2,Patch Vulnerability
0.73,5,38,,unknown,email,north korea,phishing scam targeting corporate account,,group device,malware,Malware,3,Patch Vulnerability
0.75,2,32,,,network,global,ransomware attack network vulnerability,,service,ransomware,Ransomware,2,Quarantine
0.66,1,30,,lazarus group,network,germany,distributed denial service attack public website,,service,phishing,DDoS,2,Monitor for Phishing
0.95,4,19,,unknown,web,global,ransomware attack network vulnerability,,group device,malware,Phishing,4,Quarantine
0.82,5,21,,anonymous,web,russia,phishing scam targeting corporate account,,,ransomware,Malware,2,Increase Web Security
0.64,4,39,,lazarus group,email,usa,distributed denial service attack public website,,,phishing,Phishing,3,Monitor for Phishing
0.65,2,42,,unknown,network,global,distributed denial service attack public website,,group device,phishing,Malware,4,Patch Vulnerability
0.95,4,27,,lazarus group,network,global,phishing scam targeting corporate account,,,ransomware,Phishing,4,Monitor for Phishing
0.51,2,23,,lazarus group,network,russia,distributed denial service attack public website,,,malware,Malware,2,Patch Vulnerability
0.66,1,31,,lazarus group,web,usa,distributed denial service attack public website,,,malware,Malware,5,Quarantine
0.78,2,30,,lazarus group,network,usa,ransomware attack network vulnerability,,,phishing,Ransomware,5,Quarantine
0.57,2,10,,lazarus group,email,germany,distributed denial service attack public website,,,phishing,Malware,4,Patch Vulnerability
0.55,5,24,,lazarus group,email,global,phishing scam targeting corporate account,,,ddos,Ransomware,2,Patch Vulnerability
0.91,4,45,,unknown,web,usa,phishing email malicious link,,service,phishing,Malware,5,Increase Web Security
0.95,5,31,,anonymous,web,usa,phishing email malicious link,,,malware,DDoS,2,Quarantine
0.91,3,41,,,network,north korea,phishing email malicious link,,group device,ddos,DDoS,2,Quarantine
0.95,2,42,,lazarus group,web,north korea,phishing scam targeting corporate account,,,phishing,DDoS,4,Increase Web Security
0.78,3,48,,,email,usa,phishing email malicious link,,service,ransomware,Malware,4,Quarantine
0.91,5,32,,unknown,network,germany,ransomware attack network vulnerability,,,phishing,Ransomware,1,Patch Vulnerability
0.69,4,11,,lazarus group,email,usa,phishing scam targeting corporate account,,,phishing,Ransomware,5,Monitor for Phishing
0.83,5,11,,anonymous,network,russia,phishing scam targeting corporate account,,,phishing,Malware,5,Monitor for Phishing
0.99,4,47,,,web,global,phishing scam targeting corporate account,,,ransomware,DDoS,5,Quarantine
0.61,4,38,,lazarus group,network,germany,distributed denial service attack public website,,,malware,DDoS,3,Increase Web Security
0.69,1,12,,unknown,network,russia,distributed denial service attack public website,,,ransomware,Ransomware,2,Patch Vulnerability
0.74,2,48,,anonymous,email,germany,distributed denial service attack public website,,service,phishing,DDoS,4,Monitor for Phishing
0.57,5,16,,,email,russia,malware detected email attachment,,group device,malware,Phishing,5,Patch Vulnerability
0.54,4,45,,,network,global,ransomware attack network vulnerability,,service,ddos,Ransomware,1,Quarantine
0.91,5,38,,lazarus group,web,global,phishing scam targeting corporate account,,,phishing,DDoS,5,Quarantine
0.99,5,46,,anonymous,web,north korea,phishing scam targeting corporate account,,,ransomware,Ransomware,2,Monitor for Phishing
0.7,4,45,,anonymous,email,russia,distributed denial service attack public website,,service,ddos,Phishing,2,Quarantine
0.54,3,32,,anonymous,web,north korea,phishing scam targeting corporate account,,group device,phishing,Ransomware,4,Increase Web Security
0.53,2,25,,anonymous,email,russia,phishing scam targeting corporate account,,,ddos,Ransomware,3,Quarantine
0.95,2,40,,unknown,web,north korea,phishing email malicious link,,group device,ransomware,Ransomware,4,Quarantine
0.73,1,43,,anonymous,network,global,phishing scam targeting corporate account,,,ddos,Ransomware,5,Quarantine
0.66,1,10,,,email,germany,malware detected email attachment,,group device,ransomware,Phishing,1,Patch Vulnerability
0.74,1,27,,,email,north korea,distributed denial service attack public website,,,phishing,Malware,4,Patch Vulnerability
0.66,2,49,,unknown,network,russia,ransomware attack network vulnerability,,,malware,Ransomware,3,Monitor for Phishing
0.74,3,24,,,email,russia,ransomware attack network vulnerability,,,phishing,Ransomware,4,Monitor for Phishing
0.93,2,26,,,web,global,phishing email malicious link,,,malware,DDoS,2,Monitor for Phishing
0.8,2,19,,anonymous,web,russia,ransomware attack network vulnerability,,,malware,Ransomware,5,Quarantine
0.85,2,29,,,email,usa,ransomware attack network vulnerability,,group device,malware,DDoS,5,Patch Vulnerability
0.68,2,15,,unknown,web,germany,distributed denial service attack public website,,,ransomware,Malware,5,Increase Web Security
0.87,3,17,,anonymous,email,north korea,distributed denial service attack public website,,,ransomware,Phishing,5,Quarantine
0.83,1,43,,lazarus group,network,germany,malware detected email attachment,,,phishing,Phishing,5,Quarantine
0.56,5,41,,anonymous,email,global,phishing email malicious link,,,ransomware,Malware,5,Quarantine
0.79,1,13,,unknown,network,north korea,ransomware attack network vulnerability,,service,ransomware,Phishing,1,Increase Web Security
0.63,1,48,,anonymous,web,north korea,malware detected email attachment,,,ransomware,Malware,3,Monitor for Phishing
0.9,5,29,,anonymous,network,usa,phishing email malicious link,,,ransomware,Malware,5,Increase Web Security
0.71,2,33,,unknown,web,global,ransomware attack network vulnerability,,,phishing,Malware,3,Monitor for Phishing
1.0,3,33,,anonymous,email,russia,ransomware attack network vulnerability,,,phishing,Phishing,5,Increase Web Security
0.55,3,35,,unknown,web,usa,distributed denial service attack public website,,,ransomware,DDoS,4,Patch Vulnerability
0.89,1,34,,unknown,email,usa,phishing scam targeting corporate account,,group device,phishing,Malware,5,Quarantine
0.84,5,45,,lazarus group,email,germany,phishing email malicious link,,,ddos,Ransomware,2,Quarantine
0.88,4,16,,,network,germany,ransomware attack network vulnerability,,,phishing,Phishing,1,Quarantine
0.65,2,19,,,network,germany,phishing email malicious link,,service,ransomware,Malware,4,Monitor for Phishing
0.75,1,21,,anonymous,network,usa,malware detected email attachment,,,phishing,Malware,4,Increase Web Security
0.9,3,10,,anonymous,network,russia,malware detected email attachment,,,phishing,Ransomware,2,Patch Vulnerability
0.62,5,34,,lazarus group,web,north korea,phishing scam targeting corporate account,,group device,ddos,DDoS,5,Increase Web Security
0.61,5,25,,lazarus group,web,germany,ransomware attack network vulnerability,,,phishing,DDoS,1,Quarantine
0.78,1,14,,lazarus group,web,russia,distributed denial service attack public website,,,phishing,DDoS,4,Patch Vulnerability
0.76,4,28,,unknown,email,global,ransomware attack network vulnerability,,group device,malware,Malware,1,Patch Vulnerability
0.64,3,13,,lazarus group,web,germany,phishing email malicious link,,,ddos,Malware,4,Quarantine
0.65,1,15,,lazarus group,web,north korea,malware detected email attachment,,service,malware,Malware,5,Increase Web Security
0.64,4,35,,anonymous,web,global,phishing email malicious link,,,ddos,Phishing,4,Quarantine
0.89,5,48,,lazarus group,network,global,phishing scam targeting corporate account,,,malware,Ransomware,4,Increase Web Security
0.83,2,48,,unknown,web,north korea,malware detected email attachment,,group device,malware,Malware,3,Patch Vulnerability
0.92,3,18,,unknown,email,germany,distributed denial service attack public website,,,phishing,Ransomware,5,Patch Vulnerability
0.99,3,23,,anonymous,network,usa,malware detected email attachment,,service,phishing,Ransomware,2,Quarantine
0.74,4,18,,lazarus group,email,north korea,ransomware attack network vulnerability,,,ddos,DDoS,2,Patch Vulnerability
0.53,1,24,,lazarus group,web,north korea,ransomware attack network vulnerability,,,phishing,Phishing,5,Monitor for Phishing
0.52,5,46,,unknown,network,north korea,malware detected email attachment,,,phishing,Malware,2,Patch Vulnerability
0.65,4,29,,lazarus group,email,global,phishing scam targeting corporate account,,,phishing,DDoS,5,Monitor for Phishing
0.97,2,17,,lazarus group,web,russia,ransomware attack network vulnerability,,service,ransomware,DDoS,2,Patch Vulnerability
0.76,2,41,,lazarus group,email,usa,ransomware attack network vulnerability,,,phishing,Malware,3,Quarantine
0.64,2,30,,,email,germany,distributed denial service attack public website,,,phishing,Ransomware,2,Quarantine
0.7,4,28,,anonymous,email,germany,malware detected email attachment,,group device,ransomware,DDoS,4,Monitor for Phishing
0.8,5,38,,,web,russia,ransomware attack network vulnerability,,,malware,Ransomware,5,Quarantine
0.83,3,40,,anonymous,web,north korea,phishing scam targeting corporate account,,service,malware,Phishing,1,Patch Vulnerability
0.58,1,15,,unknown,email,usa,phishing email malicious link,,,ransomware,Ransomware,1,Patch Vulnerability
0.99,3,13,,lazarus group,network,germany,malware detected email attachment,,,ransomware,Phishing,5,Quarantine
0.77,5,38,,anonymous,network,germany,distributed denial service attack public website,,group device,ransomware,Ransomware,3,Patch Vulnerability
0.57,3,12,,,web,north korea,ransomware attack network vulnerability,,,ddos,DDoS,2,Increase Web Security
0.95,4,10,,lazarus group,web,russia,phishing scam targeting corporate account,,,phishing,DDoS,3,Increase Web Security
0.54,2,24,,unknown,web,usa,malware detected email attachment,,,phishing,Phishing,1,Patch Vulnerability
0.95,5,30,,anonymous,web,russia,phishing scam targeting corporate account,,service,malware,Malware,5,Quarantine
1.0,5,40,,anonymous,web,russia,phishing scam targeting corporate account,,,malware,Phishing,5,Monitor for Phishing
0.85,3,16,,anonymous,network,usa,distributed denial service attack public website,,,malware,Phishing,3,Quarantine
0.89,4,26,,lazarus group,web,usa,malware detected email attachment,,,phishing,Ransomware,3,Monitor for Phishing
0.67,3,28,,,email,germany,ransomware attack network vulnerability,,,malware,Ransomware,2,Quarantine
0.97,3,48,,,email,germany,distributed denial service attack public website,,,ransomware,Phishing,4,Patch Vulnerability
0.76,5,12,,anonymous,network,usa,ransomware attack network vulnerability,,,malware,DDoS,4,Increase Web Security
0.87,3,39,,unknown,email,global,phishing email malicious link,,service,ransomware,Ransomware,2,Quarantine
0.96,2,44,,unknown,network,germany,phishing scam targeting corporate account,,group device,ddos,Malware,4,Monitor for Phishing
0.99,3,38,,,network,global,phishing email malicious link,,service,phishing,Ransomware,1,Increase Web Security
0.92,2,23,,unknown,email,usa,phishing scam targeting corporate account,,,phishing,Ransomware,4,Monitor for Phishing
0.65,5,44,,,web,germany,distributed denial service attack public website,,,phishing,Malware,2,Patch Vulnerability
0.98,4,37,,anonymous,email,russia,ransomware attack network vulnerability,,,ddos,Phishing,4,Increase Web Security
0.81,2,39,,,email,usa,ransomware attack network vulnerability,,,ransomware,Malware,5,Monitor for Phishing
0.97,4,35,,,network,north korea,distributed denial service attack public website,,,ddos,Phishing,3,Quarantine
0.84,4,16,,anonymous,email,global,malware detected email attachment,,,phishing,Phishing,1,Patch Vulnerability
0.65,2,48,,unknown,network,usa,phishing email malicious link,,service,ransomware,Phishing,5,Patch Vulnerability
0.69,5,40,,,web,usa,phishing email malicious link,,,ddos,Malware,5,Patch Vulnerability
0.78,1,14,,,web,germany,ransomware attack network vulnerability,,,phishing,Phishing,2,Quarantine
0.9,4,44,,anonymous,web,germany,ransomware attack network vulnerability,,,ransomware,DDoS,3,Quarantine
0.66,4,23,,unknown,email,germany,ransomware attack network vulnerability,,,ransomware,Malware,3,Increase Web Security
0.79,5,45,,,network,north korea,distributed denial service attack public website,,,phishing,DDoS,1,Quarantine
0.67,5,36,,anonymous,web,germany,malware detected email attachment,,group device,ransomware,Phishing,2,Increase Web Security
0.91,3,33,,,network,usa,phishing email malicious link,,,phishing,Ransomware,1,Patch Vulnerability
0.73,5,49,,lazarus group,network,germany,phishing scam targeting corporate account,,,malware,Phishing,4,Increase Web Security
0.54,4,38,,anonymous,web,russia,distributed denial service attack public website,,,malware,DDoS,5,Monitor for Phishing
0.58,2,31,,unknown,web,germany,phishing email malicious link,,group device,ransomware,DDoS,1,Patch Vulnerability
0.53,1,17,,unknown,network,north korea,malware detected email attachment,,,ransomware,Malware,5,Patch Vulnerability
0.75,3,24,,unknown,web,russia,distributed denial service attack public website,,group device,phishing,Ransomware,2,Increase Web Security
0.55,2,14,,unknown,network,usa,phishing email malicious link,,service,ransomware,Malware,4,Patch Vulnerability
0.56,1,13,,,network,usa,distributed denial service attack public website,,,phishing,DDoS,2,Quarantine
0.97,1,20,,,web,global,phishing email malicious link,,group device,malware,Phishing,4,Monitor for Phishing
0.94,1,27,,unknown,email,russia,phishing email malicious link,,,ransomware,Ransomware,4,Increase Web Security
0.73,2,39,,unknown,web,global,malware detected email attachment,,,ransomware,Phishing,5,Increase Web Security
0.99,3,24,,unknown,email,russia,phishing scam targeting corporate account,,,ddos,Phishing,2,Patch Vulnerability
0.5,3,15,,,network,russia,malware detected email attachment,,group device,ransomware,Ransomware,2,Quarantine
0.81,1,25,,unknown,network,north korea,phishing email malicious link,,,phishing,Malware,1,Patch Vulnerability
0.81,2,49,,unknown,email,global,distributed denial service attack public website,,group device,malware,Phishing,2,Patch Vulnerability
0.73,1,18,,lazarus group,network,north korea,malware detected email attachment,,service,ddos,DDoS,1,Increase Web Security
0.7,5,43,,lazarus group,email,russia,phishing scam targeting corporate account,,,phishing,Phishing,3,Patch Vulnerability
0.73,3,36,,unknown,email,usa,phishing email malicious link,,,phishing,Ransomware,3,Monitor for Phishing
0.71,4,22,,anonymous,network,russia,malware detected email attachment,,,malware,Ransomware,3,Patch Vulnerability
0.87,1,45,,unknown,email,north korea,malware detected email attachment,,group device,phishing,Ransomware,2,Patch Vulnerability
0.57,5,36,,lazarus group,web,global,malware detected email attachment,,,phishing,Malware,2,Increase Web Security
0.6,3,18,,anonymous,web,global,malware detected email attachment,,group device,ransomware,Phishing,1,Patch Vulnerability
0.59,2,14,,anonymous,network,north korea,distributed denial service attack public website,,,malware,Malware,4,Quarantine
0.63,3,31,,unknown,network,global,phishing scam targeting corporate account,,service,ddos,Malware,1,Increase Web Security
0.76,2,40,,lazarus group,email,germany,phishing scam targeting corporate account,,group device,ransomware,Ransomware,3,Patch Vulnerability
0.56,2,12,,lazarus group,email,usa,phishing email malicious link,,service,phishing,Ransomware,1,Monitor for Phishing
0.93,1,39,,anonymous,email,usa,ransomware attack network vulnerability,,,phishing,Malware,4,Monitor for Phishing
0.65,1,30,,unknown,email,usa,distributed denial service attack public website,,service,ddos,Phishing,2,Increase Web Security
0.58,3,44,,,web,global,phishing email malicious link,,,phishing,DDoS,1,Increase Web Security
0.84,5,15,,,web,global,phishing email malicious link,,,ddos,Malware,3,Patch Vulnerability
0.52,3,37,,lazarus group,network,russia,malware detected email attachment,,group device,malware,Phishing,3,Quarantine
0.81,4,41,,,email,russia,ransomware attack network vulnerability,,group device,ddos,Ransomware,2,Patch Vulnerability
0.85,2,46,,lazarus group,email,usa,ransomware attack network vulnerability,,,phishing,Ransomware,1,Monitor for Phishing
0.61,2,34,,lazarus group,network,germany,distributed denial service attack public website,,,phishing,Phishing,4,Quarantine
0.52,1,41,,lazarus group,email,russia,ransomware attack network vulnerability,,,phishing,DDoS,2,Quarantine
0.68,5,44,,,email,russia,phishing email malicious link,,group device,ddos,Ransomware,1,Quarantine
0.55,1,31,,lazarus group,email,global,ransomware attack network vulnerability,,,malware,Ransomware,5,Patch Vulnerability
0.56,4,33,,anonymous,email,germany,ransomware attack network vulnerability,,,phishing,Ransomware,3,Monitor for Phishing
0.63,3,48,,unknown,email,usa,phishing scam targeting corporate account,,service,ransomware,Phishing,4,Increase Web Security
0.65,3,39,,unknown,network,russia,phishing email malicious link,,group device,phishing,Malware,4,Patch Vulnerability
0.76,5,41,,lazarus group,email,germany,ransomware attack network vulnerability,,service,ddos,Ransomware,4,Increase Web Security
0.84,1,40,,unknown,network,germany,ransomware attack network vulnerability,,,malware,Malware,3,Quarantine
0.8,1,32,,,email,usa,malware detected email attachment,,service,malware,DDoS,1,Quarantine
0.57,4,49,,,web,germany,ransomware attack network vulnerability,,,phishing,Ransomware,2,Patch Vulnerability
0.59,3,42,,unknown,web,germany,ransomware attack network vulnerability,,,phishing,Ransomware,1,Monitor for Phishing
0.94,1,34,,,web,germany,phishing scam targeting corporate account,,,phishing,DDoS,2,Quarantine
0.78,5,45,,unknown,web,russia,phishing email malicious link,,group device,ransomware,Ransomware,4,Increase Web Security
0.93,3,33,,unknown,network,usa,distributed denial service attack public website,,,ransomware,Malware,1,Increase Web Security
0.69,4,40,,unknown,network,germany,phishing email malicious link,,group device,ransomware,Phishing,4,Patch Vulnerability
0.81,5,48,,lazarus group,email,germany,malware detected email attachment,,service,malware,Malware,5,Increase Web Security
0.76,2,22,,unknown,web,russia,phishing email malicious link,,,phishing,Phishing,4,Monitor for Phishing
0.66,4,19,,lazarus group,network,usa,ransomware attack network vulnerability,,,phishing,Phishing,4,Quarantine
0.73,5,32,,unknown,email,global,malware detected email attachment,,,phishing,Malware,2,Increase Web Security
0.75,1,27,,unknown,email,russia,phishing email malicious link,,service,ransomware,Malware,5,Increase Web Security
0.6,2,41,,unknown,network,usa,malware detected email attachment,,,phishing,Malware,4,Quarantine
0.66,4,42,,,web,germany,distributed denial service attack public website,,,phishing,Malware,4,Patch Vulnerability
0.9,1,45,,lazarus group,email,usa,phishing email malicious link,,,ddos,DDoS,5,Increase Web Security
0.96,2,37,,lazarus group,web,usa,ransomware attack network vulnerability,,,phishing,Ransomware,5,Patch Vulnerability
0.68,3,25,,unknown,web,usa,malware detected email attachment,,group device,phishing,Phishing,1,Patch Vulnerability
0.65,1,25,,unknown,web,global,phishing scam targeting corporate account,,,phishing,Malware,2,Increase Web Security
0.6,5,27,,,email,usa,malware detected email attachment,,,phishing,Malware,5,Monitor for Phishing
0.84,4,17,,,web,global,phishing scam targeting corporate account,,group device,phishing,Malware,5,Patch Vulnerability
0.66,2,25,,,email,germany,ransomware attack network vulnerability,,service,phishing,DDoS,3,Increase Web Security
0.99,1,20,,lazarus group,web,global,distributed denial service attack public website,,,phishing,Malware,5,Patch Vulnerability
0.66,3,15,,lazarus group,email,germany,phishing scam targeting corporate account,,service,phishing,Malware,2,Quarantine
0.7,4,10,,lazarus group,web,germany,distributed denial service attack public website,,group device,ddos,Malware,4,Monitor for Phishing
0.8,4,21,,unknown,network,global,malware detected email attachment,,service,malware,Ransomware,4,Monitor for Phishing
0.9,1,47,,lazarus group,web,russia,ransomware attack network vulnerability,,service,phishing,DDoS,4,Quarantine
0.73,3,37,,anonymous,web,north korea,phishing scam targeting corporate account,,service,phishing,Malware,4,Quarantine
0.71,2,26,,anonymous,email,usa,malware detected email attachment,,,phishing,Phishing,3,Patch Vulnerability
1.0,1,10,,,email,north korea,phishing email malicious link,,,phishing,Phishing,5,Quarantine
0.51,2,41,,lazarus group,web,usa,malware detected email attachment,,,ransomware,Phishing,4,Monitor for Phishing
0.95,4,17,,anonymous,network,usa,distributed denial service attack public website,,,ransomware,DDoS,1,Quarantine
0.57,2,49,,,network,germany,ransomware attack network vulnerability,,group device,ddos,DDoS,4,Increase Web Security
0.89,3,33,,lazarus group,email,usa,ransomware attack network vulnerability,,,phishing,Phishing,5,Increase Web Security
0.81,5,19,,unknown,network,usa,malware detected email attachment,,service,phishing,Malware,4,Patch Vulnerability
0.67,3,48,,anonymous,web,global,phishing email malicious link,,service,phishing,DDoS,3,Monitor for Phishing
0.94,2,48,,unknown,email,north korea,distributed denial service attack public website,,service,malware,Phishing,2,Increase Web Security
0.51,1,19,,lazarus group,web,global,malware detected email attachment,,service,ddos,Phishing,2,Quarantine
0.61,4,45,,anonymous,email,usa,malware detected email attachment,,,phishing,Malware,5,Increase Web Security
0.78,5,34,,lazarus group,email,germany,ransomware attack network vulnerability,,,malware,Ransomware,2,Increase Web Security
0.68,1,19,,unknown,email,global,distributed denial service attack public website,,group device,phishing,DDoS,2,Patch Vulnerability
0.81,1,28,,anonymous,email,global,phishing email malicious link,,group device,malware,Malware,1,Quarantine
0.51,3,24,,unknown,network,russia,ransomware attack network vulnerability,,,ransomware,Phishing,5,Quarantine
0.56,2,25,,lazarus group,web,usa,malware detected email attachment,,,ransomware,Phishing,5,Quarantine
0.56,3,11,,lazarus group,web,germany,ransomware attack network vulnerability,,group device,phishing,Malware,2,Patch Vulnerability
0.59,2,38,,unknown,web,global,ransomware attack network vulnerability,,,ddos,DDoS,2,Quarantine
0.73,3,13,,anonymous,email,global,phishing scam targeting corporate account,,service,phishing,Ransomware,2,Quarantine
0.88,1,38,,unknown,network,germany,ransomware attack network vulnerability,,,ddos,Ransomware,3,Increase Web Security
0.95,4,40,,lazarus group,web,usa,ransomware attack network vulnerability,,,ddos,Phishing,4,Increase Web Security
0.92,2,26,,unknown,network,russia,distributed denial service attack public website,,group device,phishing,DDoS,3,Quarantine
0.6,5,19,,lazarus group,email,global,ransomware attack network vulnerability,,,ransomware,Ransomware,5,Monitor for Phishing
0.72,5,36,,unknown,web,russia,phishing email malicious link,,,ransomware,DDoS,1,Monitor for Phishing
0.6,1,24,,anonymous,network,north korea,malware detected email attachment,,group device,phishing,DDoS,4,Quarantine
0.63,3,40,,anonymous,email,usa,distributed denial service attack public website,,,malware,Phishing,1,Monitor for Phishing
0.75,3,30,,unknown,network,north korea,ransomware attack network vulnerability,,group device,ddos,Ransomware,5,Patch Vulnerability
0.53,1,35,,unknown,web,north korea,phishing email malicious link,,service,phishing,Malware,5,Increase Web Security
0.61,5,47,,anonymous,web,north korea,malware detected email attachment,,,ransomware,Phishing,1,Patch Vulnerability
0.97,5,45,,lazarus group,email,usa,distributed denial service attack public website,,service,phishing,Ransomware,1,Increase Web Security
0.73,3,26,,anonymous,email,usa,phishing email malicious link,,group device,phishing,Ransomware,1,Monitor for Phishing
0.72,2,12,,lazarus group,email,germany,ransomware attack network vulnerability,,,phishing,Ransomware,5,Monitor for Phishing
0.51,4,23,,unknown,network,russia,phishing scam targeting corporate account,,service,phishing,Ransomware,2,Quarantine
0.62,2,22,,unknown,network,russia,phishing scam targeting corporate account,,,ddos,Ransomware,1,Monitor for Phishing
0.93,5,36,,lazarus group,network,germany,distributed denial service attack public website,,group device,phishing,DDoS,4,Monitor for Phishing
0.58,2,10,,unknown,email,germany,phishing email malicious link,,,phishing,Phishing,5,Quarantine
0.71,4,26,,lazarus group,web,north korea,malware detected email attachment,,,ransomware,DDoS,3,Quarantine
0.51,2,43,,,web,germany,phishing email malicious link,,group device,phishing,Malware,3,Increase Web Security
0.74,2,23,,anonymous,network,global,phishing scam targeting corporate account,,,ransomware,Ransomware,4,Monitor for Phishing
0.51,2,26,,,network,russia,distributed denial service attack public website,,service,malware,Phishing,2,Increase Web Security
0.91,2,12,,lazarus group,web,germany,ransomware attack network vulnerability,,group device,phishing,Ransomware,1,Increase Web Security
0.91,1,43,,anonymous,web,global,phishing email malicious link,,service,phishing,Phishing,5,Patch Vulnerability
0.89,5,49,,lazarus group,network,global,phishing scam targeting corporate account,,,ransomware,DDoS,1,Monitor for Phishing
0.64,4,34,,anonymous,network,global,malware detected email attachment,,group device,phishing,Phishing,5,Monitor for Phishing
0.92,5,11,,anonymous,web,global,distributed denial service attack public website,,,ddos,Malware,3,Patch Vulnerability
0.77,1,43,,anonymous,email,north korea,ransomware attack network vulnerability,,,ransomware,Malware,1,Increase Web Security
0.69,1,35,,anonymous,network,global,phishing email malicious link,,service,ransomware,Phishing,4,Monitor for Phishing
0.81,1,40,,lazarus group,web,north korea,malware detected email attachment,,service,malware,Phishing,2,Increase Web Security
0.51,1,18,,anonymous,web,north korea,ransomware attack network vulnerability,,,ddos,Phishing,4,Patch Vulnerability
0.57,2,39,,anonymous,web,global,phishing scam targeting corporate account,,,malware,Phishing,2,Quarantine
0.87,5,29,,,web,russia,phishing scam targeting corporate account,,,ddos,Malware,1,Increase Web Security
0.62,3,30,,unknown,email,global,malware detected email attachment,,,ransomware,Ransomware,1,Monitor for Phishing
0.8,4,38,,unknown,web,global,phishing scam targeting corporate account,,service,malware,Phishing,2,Quarantine
0.69,1,34,,,network,global,distributed denial service attack public website,,group device,phishing,Phishing,3,Increase Web Security
0.93,5,47,,,email,russia,malware detected email attachment,,,ddos,Malware,5,Increase Web Security
0.98,1,34,,lazarus group,web,usa,phishing scam targeting corporate account,,,ransomware,Malware,4,Quarantine
0.94,1,18,,lazarus group,email,usa,phishing email malicious link,,group device,phishing,DDoS,4,Quarantine
0.64,1,48,,lazarus group,network,north korea,phishing scam targeting corporate account,,,ddos,Phishing,4,Quarantine
0.6,1,35,,,web,north korea,distributed denial service attack public website,,,ddos,DDoS,1,Monitor for Phishing
0.74,1,46,,,network,russia,ransomware attack network vulnerability,,,phishing,Malware,4,Monitor for Phishing
0.5,4,25,,anonymous,web,germany,ransomware attack network vulnerability,,,ddos,Malware,5,Increase Web Security
0.51,5,46,,lazarus group,web,usa,phishing scam targeting corporate account,,,ddos,Ransomware,5,Increase Web Security
0.78,1,21,,lazarus group,web,north korea,ransomware attack network vulnerability,,,phishing,Phishing,2,Patch Vulnerability
0.76,1,33,,lazarus group,web,usa,phishing scam targeting corporate account,,group device,phishing,DDoS,1,Monitor for Phishing
1.0,1,35,,unknown,web,russia,distributed denial service attack public website,,group device,malware,Malware,5,Increase Web Security
0.6,1,29,,anonymous,email,russia,ransomware attack network vulnerability,,,ransomware,Malware,3,Quarantine
0.63,2,18,,lazarus group,web,germany,phishing email malicious link,,,ransomware,DDoS,1,Quarantine
0.56,2,32,,lazarus group,web,germany,phishing scam targeting corporate account,,,malware,Ransomware,1,Monitor for Phishing
0.96,3,48,,lazarus group,email,russia,ransomware attack network vulnerability,,,ransomware,Malware,5,Quarantine
0.89,1,38,,unknown,email,north korea,distributed denial service attack public website,,group device,ddos,Phishing,3,Patch Vulnerability
0.91,3,40,,unknown,email,usa,distributed denial service attack public website,,service,malware,Malware,2,Increase Web Security
0.95,4,28,,,email,global,phishing email malicious link,,service,malware,Phishing,5,Increase Web Security
0.76,3,29,,anonymous,email,germany,distributed denial service attack public website,,,ransomware,DDoS,3,Increase Web Security
0.73,5,32,,,email,global,distributed denial service attack public website,,,phishing,Phishing,1,Monitor for Phishing
0.67,2,36,,anonymous,web,north korea,ransomware attack network vulnerability,,service,ransomware,DDoS,3,Quarantine
0.79,2,39,,unknown,web,germany,phishing scam targeting corporate account,,,phishing,Phishing,1,Patch Vulnerability
0.73,1,30,,lazarus group,network,global,malware detected email attachment,,group device,malware,DDoS,5,Monitor for Phishing
0.73,1,44,,,web,north korea,distributed denial service attack public website,,,phishing,Phishing,5,Increase Web Security
0.97,4,16,,lazarus group,web,usa,distributed denial service attack public website,,,ddos,Ransomware,4,Patch Vulnerability
0.99,4,31,,,email,north korea,malware detected email attachment,,,phishing,Phishing,4,Increase Web Security
0.9,5,19,,unknown,email,germany,distributed denial service attack public website,,group device,phishing,Phishing,4,Increase Web Security
0.88,1,32,,unknown,web,russia,ransomware attack network vulnerability,,,phishing,Ransomware,5,Monitor for Phishing
0.84,1,24,,unknown,network,usa,ransomware attack network vulnerability,,,ddos,Malware,2,Increase Web Security
0.58,4,39,,,email,global,malware detected email attachment,,,phishing,Malware,5,Patch Vulnerability
0.53,4,43,,anonymous,web,germany,distributed denial service attack public website,,,ddos,Phishing,3,Increase Web Security
0.85,4,22,,,web,russia,distributed denial service attack public website,,,phishing,Ransomware,5,Quarantine
0.86,2,13,,anonymous,network,north korea,phishing scam targeting corporate account,,,phishing,Phishing,5,Increase Web Security
0.52,3,27,,,network,russia,distributed denial service attack public website,,group device,ransomware,DDoS,1,Monitor for Phishing
0.96,3,32,,,email,germany,ransomware attack network vulnerability,,,phishing,DDoS,1,Patch Vulnerability
